product_name,sale_price,ingest_timestamp_utc,ecommerce_name
VitalCore Omni-Antioxidant Boost 6mg 30 Softgels (เพื่อสุขภาพที่ดีของคุณ!),"1,125.00",2025-06-20 3:03:30,ecommerce_01
VitalCore Omega-3 Essence 1000mg 80 Gel-Caps (Supports Heart & Brain Health),864,2025-06-20 3:03:30,ecommerce_01
DermaSense Hydro-Calm Cleansing Fluid 200ml ✨ผิวชุ่มชื้นทันที!✨,"1,102.00",2025-06-20 3:03:30,ecommerce_01
DermaSense เพียว-ไฮเดรท คลีนซิ่ง เจล 200ml,900,2025-06-20 3:03:30,ecommerce_01
VitalCore Scent-Free Omega Mini 60 Softgels (Your Daily Essential),684,2025-06-20 3:03:30,ecommerce_01
VitalCore โอเชี่ยน บิวตี้ คอลลาเจน 60 Softgels เพื่อผิวสวยใส,"2,425.50",2025-06-20 3:03:30,ecommerce_01
VitalCore Scent-Free Omega Mini 60 Softgels (Get Yours Now!),648,2025-06-20 3:03:30,ecommerce_01
VitalCore นิวโร-โอเมก้า DHA 60 Softgels (บำรุงสมอง),"1,174.50",2025-06-20 3:03:30,ecommerce_01
VitalCore สารสกัดจากองุ่นเข้มข้น 12000มก. 30 เม็ด,873,2025-06-20 3:03:30,ecommerce_01
ActiveVita Radiant Skin Complex 30 Capsules (Achieve Glowing Skin!),686,2025-06-20 3:03:30,ecommerce_01
VitalCore Bio-Defense Daily 90 Capsules (ปกป้องทุกวัน!),"1,200.00",2025-06-20 3:03:30,ecommerce_01
DermaSense Vita-C Brightening Serum 30ml ✨เซรั่มวิตามินซีเพื่อผิวใส✨,400,2025-06-20 3:03:30,ecommerce_01
VitalCore Omni-Antioxidant Boost 6mg 30 Softgels,499,2025-06-20 3:03:30,ecommerce_02
VitalCore Omega-3 Essence 1000mg 80 Gel-Caps,399,2025-06-20 3:03:30,ecommerce_02
DermaSense Hydro-Calm Cleansing Fluid 200ml,540,2025-06-20 3:03:30,ecommerce_02
DermaSense Pure-Hydrate Cleansing Gel 200ml,540,2025-06-20 3:03:30,ecommerce_02
VitalCore Scent-Free Omega Mini 60 Softgels,430,2025-06-20 3:03:30,ecommerce_02
VitalCore Ocean Beauty Collagen 60 Softgels,"1,599.00",2025-06-20 3:03:30,ecommerce_02
VitalCore Scent-Free Omega Mini 60 Softgels,430,2025-06-20 3:03:30,ecommerce_02
VitalCore Neuro-Omega DHA 60 Softgels,1100,2025-06-20 3:03:30,ecommerce_02
VitalCore Vine Antioxidant Strength 12000mg 30 Tablets,800,2025-06-20 3:03:30,ecommerce_02
ActiveVita Radiant Skin Complex 30 Capsules,600,2025-06-20 3:03:30,ecommerce_02
VitalCore Bio-Defense Daily 90 Capsules,"1,100.00",2025-06-20 3:03:30,ecommerce_02
DermaSense Vita-C Brightening Serum 30ml,300,2025-06-20 3:03:30,ecommerce_02
